ciudad,latitude,longitude
Madrid,40.4167047,-3.7035825
Barcelona,41.3825802,2.177073
Vigo,42.2376602,-8.7247205
Sevilla,37.3886303,-5.9953403
Murcia,37.9923795,-1.1305431
Alicante/Alacant,38.3436365,-0.4881708
Málaga,36.7213028,-4.4216366
Valencia,39.4697065,-0.3763353
Almería,36.8414197,-2.4628135
Bilbao,43.2630018,-2.9350039
Granada,37.1734995,-3.5995337
Las Rozas de Madrid,40.4933095,-3.8758396
Sant Vicenç de Montalt,41.5787122,2.5103642
Ciudad Real,38.9597347,-3.8828744
Granollers,41.6079555,2.2876008
Santiago de Compostela,42.8804219,-8.5458608
Badajoz,38.878187,-6.9701115
Olèrdola,41.3214217,1.7234463
Santa Maria del Aguila,36.780645,-2.7736816
Valdepeñas,38.7594573,-3.3847392
Saladar,39.2071096,-0.2870103
Estepona,36.4268068,-5.1468484
Collado Villalba,40.6431496,-3.9930128
Zaragoza,41.6521342,-0.8809428
Alcobendas,40.5400082,-3.6358494
Alzira,39.151212,-0.4346556
Torremolinos,36.6242841,-4.4995448
Castello/Castellon de La Plana,39.9882269,-0.0521556
Alcalá de Guadaíra,37.3397709,-5.8408396
Santafe,41.396572,2.1667469
Mercabilbao,43.2330647,-2.8869306
Alameda del Obispo,37.8615017,-4.80589
Sant Boi de Llobregat,41.3459033,2.0413673
Albacete,38.9950921,-1.8559154
Atarrabia,42.8318984,-1.6071287
Puerto de Sagunto,39.6631732,-0.2208575
Getafe,40.3070639,-3.7331808
Paterna,39.5039227,-0.4421014
Fuenlabrada,40.282476,-3.7923422
Palma de Mallorca,39.5695818,2.6500745
Santa Coloma de Gramenet,41.4515626,2.2083371
Sabadell,41.5421013,2.1138977
Toledo,39.8560679,-4.0239568
Leganés,40.3281942,-3.76527
Móstoles,40.3238525,-3.8649214
Tarragona,41.1172364,1.2546057
Alcalá de Henares,40.481954,-3.363981
Fornells de la Selva,41.9319675,2.8090343
Gandía,38.9675925,-0.1803423
Alcorcón,40.3492998,-3.8284295
Girona,41.9793006,2.8199439
San Fernando de Henares,40.4248548,-3.5350369
Valladolid,41.6521807,-4.728605
Terrassa,41.5629623,2.0100492
Ullastrell,41.5265763,1.9560471
Òrrius,41.5551821,2.3549387
Camarma de Esteruelas,40.5497252,-3.3785043
Marbella,36.508976,-4.88562
Torrejón de Ardoz,40.4587767,-3.4793343
Villaviciosa de Odón,40.3573787,-3.9002334
A Coruña,43.3709703,-8.3959425
San Sebastián de Los Reyes,40.5473698,-3.6260586
Palau-Solita I Plegamans,41.5873942,2.1806823
Elx/Elche,38.2653307,-0.6988391
Carretera de San Martin de La Vega,40.3237702,-3.6517132
Valdefuentes,39.2737556,-6.126006
Bormujos,37.3715939,-6.07133
Pamplona/Iruña,42.815686,-1.6522353
Arriaga,42.8668195,-2.6781535
Santander,43.4618932,-3.8100255
Castellón,40.2518568,-0.0615052
Córdoba,37.8845813,-4.7760138
Huelva,37.2575874,-6.9484945
Cáceres,39.4020024,-6.4545805
Mataró,41.5398348,2.4448926
L'Hospitalet de Llobregat,41.3598601,2.0997927
Pontevedra,42.4318876,-8.6431592
Armentia,42.7142084,-2.7034178
Donostia-San Sebastián,43.3224219,-1.9838889
Oviedo,43.3618625,-5.8483581
Jaén,37.9557275,-3.4920556
